record_id,protocol_id,scenario,variant,variant_status,training_seed,evaluation_episode_index,robot_count,training_episodes,validation_points,safety_envelope,control_step_s,fully_successful_episode,collision_episode,rr_near_miss_count,rp_near_miss_count,average_completion_time_s,makespan_s,average_waiting_time_s,average_path_length_m,astar_reference_path_length_m,executed_to_astar_ratio,trajectory_straightness,turning_per_m_rad_per_m,sharp_turn_count,min_rr_center_distance_m,min_rp_center_distance_m,intervention_ratio,mean_policy_inference_time_ms,p95_policy_inference_time_ms,active_conflict_edge_count_mean,possible_edge_count,edge_density_mean,checkpoint_sha256,source_commit,config_sha256
abl__mixed_complex__Full_CA-GAT-MAPPO__seed1__ep00,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,1,0,4,100,20,ON,0.1,1,0,0,0,44.650264,46.727232,0.865481,21.2021,22.9948,0.922,0.781125,0.72493,0,0.820209,0.818563,0.239854,0.9672,1.6395,2.55,12,0.2125,18bb7d99f3e5436610f738c4d61094d5fe92aaf20353f2bbd518f61731da8668,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed1__ep01,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,1,1,4,100,20,ON,0.1,1,0,0,0,40.728498,46.803776,0.848849,21.6657,23.1388,0.9363,0.792742,0.69822,1,0.894249,0.774808,0.248327,0.7844,1.6119,2.34,12,0.195,18bb7d99f3e5436610f738c4d61094d5fe92aaf20353f2bbd518f61731da8668,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed1__ep02,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,1,2,4,100,20,ON,0.1,1,0,0,0,46.318693,48.561986,0.855809,21.5905,22.8845,0.9435,0.781623,0.74853,1,0.820439,0.78651,0.273869,0.7117,1.5199,2.81,12,0.234167,18bb7d99f3e5436610f738c4d61094d5fe92aaf20353f2bbd518f61731da8668,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed1__ep03,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,1,3,4,100,20,ON,0.1,1,0,0,0,44.827545,47.08241,0.705579,21.3073,23.1154,0.9218,0.785968,0.754422,1,0.827453,0.806308,0.264031,0.943,1.3907,1.56,12,0.13,18bb7d99f3e5436610f738c4d61094d5fe92aaf20353f2bbd518f61731da8668,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed1__ep04,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,1,4,4,100,20,ON,0.1,1,0,0,0,44.271556,49.318339,0.868909,21.737,22.9467,0.9473,0.778136,0.757744,0,0.807314,0.78451,0.276683,0.855,1.5452,1.9,12,0.158333,18bb7d99f3e5436610f738c4d61094d5fe92aaf20353f2bbd518f61731da8668,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed1__ep05,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,1,5,4,100,20,ON,0.1,1,0,0,0,50.309571,51.418128,0.692753,21.334,23.1777,0.9205,0.79108,0.74192,0,0.841123,0.791881,0.272227,0.9253,1.3813,2.64,12,0.22,18bb7d99f3e5436610f738c4d61094d5fe92aaf20353f2bbd518f61731da8668,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed1__ep06,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,1,6,4,100,20,ON,0.1,1,0,0,0,45.564387,47.390362,0.825514,21.374,23.1195,0.9245,0.795642,0.753234,1,0.820962,0.791383,0.27526,0.7903,1.615,2.41,12,0.200833,18bb7d99f3e5436610f738c4d61094d5fe92aaf20353f2bbd518f61731da8668,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed1__ep07,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,1,7,4,100,20,ON,0.1,1,0,0,0,44.961377,47.904392,0.925274,21.3761,23.0527,0.9273,0.783878,0.74229,0,0.869459,0.783016,0.244278,0.8631,1.4422,2.53,12,0.210833,18bb7d99f3e5436610f738c4d61094d5fe92aaf20353f2bbd518f61731da8668,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed1__ep08,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,1,8,4,100,20,ON,0.1,1,0,0,0,42.712758,47.797619,0.685861,21.6884,23.2011,0.9348,0.780456,0.752996,0,0.817735,0.814086,0.271419,0.7277,1.3006,2.41,12,0.200833,18bb7d99f3e5436610f738c4d61094d5fe92aaf20353f2bbd518f61731da8668,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed1__ep09,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,1,9,4,100,20,ON,0.1,1,0,0,0,47.581012,48.981587,0.690444,21.348,23.0529,0.926,0.786979,0.758596,1,0.849677,0.780912,0.264142,0.9348,1.3973,2.29,12,0.190833,18bb7d99f3e5436610f738c4d61094d5fe92aaf20353f2bbd518f61731da8668,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed2__ep00,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,2,0,4,100,20,ON,0.1,1,0,0,0,46.116022,49.54392,0.779127,21.7515,22.9323,0.9485,0.784152,0.706979,1,0.887592,0.796717,0.273642,0.8474,1.3123,2.55,12,0.2125,5905756bc48165e721b130669470fc80a0c4d8e75bc82980c9491abdeb8ef2a5,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed2__ep01,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,2,1,4,100,20,ON,0.1,1,0,0,0,46.611511,48.498686,0.657239,21.4711,23.0576,0.9312,0.810531,0.721018,0,0.89752,0.78866,0.252236,0.8553,1.4048,2.52,12,0.21,5905756bc48165e721b130669470fc80a0c4d8e75bc82980c9491abdeb8ef2a5,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed2__ep02,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,2,2,4,100,20,ON,0.1,1,0,0,0,46.129473,46.695073,0.736608,21.7154,22.947,0.9463,0.811431,0.694695,1,0.813415,0.822982,0.23296,0.9859,1.6061,1.8,12,0.15,5905756bc48165e721b130669470fc80a0c4d8e75bc82980c9491abdeb8ef2a5,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed2__ep03,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,2,3,4,100,20,ON,0.1,1,0,0,0,43.929365,49.069227,0.833677,21.511,23.1966,0.9273,0.809766,0.709378,1,0.8497,0.797393,0.256255,0.956,1.3728,2.31,12,0.1925,5905756bc48165e721b130669470fc80a0c4d8e75bc82980c9491abdeb8ef2a5,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed2__ep04,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,2,4,4,100,20,ON,0.1,1,0,0,0,47.69499,51.610614,0.563749,21.2207,22.8654,0.9281,0.788947,0.704286,1,0.852111,0.800144,0.26421,0.8558,1.3758,1.91,12,0.159167,5905756bc48165e721b130669470fc80a0c4d8e75bc82980c9491abdeb8ef2a5,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed2__ep05,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,2,5,4,100,20,ON,0.1,1,0,0,0,46.158048,48.52827,0.731712,21.2955,23.1342,0.9205,0.775911,0.732987,1,0.942922,0.769361,0.272691,0.8001,1.6996,1.88,12,0.156667,5905756bc48165e721b130669470fc80a0c4d8e75bc82980c9491abdeb8ef2a5,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed2__ep06,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,2,6,4,100,20,ON,0.1,1,0,0,0,43.657237,48.613393,0.640744,21.7948,23.1823,0.9401,0.799329,0.708654,0,0.897802,0.801819,0.234457,0.9094,1.5681,1.59,12,0.1325,5905756bc48165e721b130669470fc80a0c4d8e75bc82980c9491abdeb8ef2a5,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed2__ep07,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,2,7,4,100,20,ON,0.1,1,0,0,0,47.233429,49.260968,0.824459,21.301,22.9902,0.9265,0.784489,0.718906,1,0.90551,0.826988,0.252428,0.861,1.6387,2.4,12,0.2,5905756bc48165e721b130669470fc80a0c4d8e75bc82980c9491abdeb8ef2a5,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed2__ep08,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,2,8,4,100,20,ON,0.1,1,0,0,0,46.611438,49.404333,0.602351,21.3716,23.0529,0.9271,0.793209,0.758998,0,0.805011,0.834252,0.271048,0.7176,1.3907,1.66,12,0.138333,5905756bc48165e721b130669470fc80a0c4d8e75bc82980c9491abdeb8ef2a5,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed2__ep09,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,2,9,4,100,20,ON,0.1,1,0,0,0,43.550243,46.566564,0.640222,21.7455,23.2401,0.9357,0.786545,0.756283,1,0.847616,0.772796,0.270744,0.8429,1.499,2.04,12,0.17,5905756bc48165e721b130669470fc80a0c4d8e75bc82980c9491abdeb8ef2a5,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed3__ep00,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,3,0,4,100,20,ON,0.1,1,0,0,0,47.653513,48.49274,0.769845,21.5923,23.1823,0.9314,0.801013,0.749198,1,0.81732,0.813688,0.237165,0.7166,1.5009,2.89,12,0.240833,19ad2a05254c5a4068780dbb6d5c6168c918c5dbf709f1202af4c5deba82c85c,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed3__ep01,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,3,1,4,100,20,ON,0.1,1,0,0,0,46.66725,47.555968,0.608239,21.3658,22.9467,0.9311,0.794997,0.705647,0,0.822115,0.792087,0.219883,0.8475,1.3486,1.97,12,0.164167,19ad2a05254c5a4068780dbb6d5c6168c918c5dbf709f1202af4c5deba82c85c,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed3__ep02,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,3,2,4,100,20,ON,0.1,1,0,0,0,46.066048,49.843954,0.656816,21.7197,23.1777,0.9371,0.799047,0.733077,2,0.826448,0.8126,0.229736,0.7688,1.6658,2.49,12,0.2075,19ad2a05254c5a4068780dbb6d5c6168c918c5dbf709f1202af4c5deba82c85c,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed3__ep03,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,3,3,4,100,20,ON,0.1,1,0,0,0,45.665293,50.590331,0.613218,21.6334,23.1388,0.9349,0.791155,0.686732,0,0.818504,0.768205,0.268339,0.9301,1.5529,2.75,12,0.229167,19ad2a05254c5a4068780dbb6d5c6168c918c5dbf709f1202af4c5deba82c85c,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed3__ep04,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,3,4,4,100,20,ON,0.1,1,0,0,0,47.724319,50.829248,0.638099,21.2077,23.1342,0.9167,0.802935,0.711602,0,0.79778,0.781329,0.269125,0.9201,1.6256,1.81,12,0.150833,19ad2a05254c5a4068780dbb6d5c6168c918c5dbf709f1202af4c5deba82c85c,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed3__ep05,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,3,5,4,100,20,ON,0.1,1,0,0,0,46.188864,47.891439,0.531833,21.6802,23.0092,0.9422,0.794447,0.749761,0,0.811321,0.835413,0.2344,0.7691,1.6088,2.25,12,0.1875,19ad2a05254c5a4068780dbb6d5c6168c918c5dbf709f1202af4c5deba82c85c,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed3__ep06,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,3,6,4,100,20,ON,0.1,1,0,0,0,45.631305,48.335033,0.655375,21.7182,23.0719,0.9413,0.79205,0.70341,2,0.831272,0.83299,0.269922,0.7208,1.3774,3,12,0.25,19ad2a05254c5a4068780dbb6d5c6168c918c5dbf709f1202af4c5deba82c85c,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed3__ep07,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,3,7,4,100,20,ON,0.1,1,0,0,0,45.570412,51.306313,0.754501,21.7369,23.0573,0.9427,0.804528,0.733368,2,0.869913,0.779524,0.278915,0.8693,1.4801,3.16,12,0.263333,19ad2a05254c5a4068780dbb6d5c6168c918c5dbf709f1202af4c5deba82c85c,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed3__ep08,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,3,8,4,100,20,ON,0.1,1,0,0,0,43.939814,48.55573,0.837419,21.39,23.1151,0.9254,0.804077,0.684031,1,0.773911,0.834187,0.256217,0.7132,1.5057,1.65,12,0.1375,19ad2a05254c5a4068780dbb6d5c6168c918c5dbf709f1202af4c5deba82c85c,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed3__ep09,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,3,9,4,100,20,ON,0.1,1,0,0,0,45.916039,51.25026,0.686916,21.2271,23.0576,0.9206,0.783329,0.712141,1,0.810731,0.809194,0.264647,0.9205,1.5074,2.06,12,0.171667,19ad2a05254c5a4068780dbb6d5c6168c918c5dbf709f1202af4c5deba82c85c,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed4__ep00,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,4,0,4,100,20,ON,0.1,1,0,0,0,45.008303,48.347036,0.77552,21.7372,23.0526,0.9429,0.799522,0.71576,1,0.824001,0.770167,0.255264,0.9066,1.5944,3.46,12,0.288333,31d0c6720f718536c14b34deda7bbeb7992c32178499a5d207b6ba3cf2ffbb68,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed4__ep01,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,4,1,4,100,20,ON,0.1,1,0,0,0,47.088284,54.125931,0.557701,21.7204,23.0529,0.9422,0.777288,0.711793,1,0.861521,0.839873,0.256361,0.8776,1.329,2.81,12,0.234167,31d0c6720f718536c14b34deda7bbeb7992c32178499a5d207b6ba3cf2ffbb68,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed4__ep02,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,4,2,4,100,20,ON,0.1,1,0,0,0,44.702536,47.898984,0.569803,21.6609,22.9904,0.9422,0.774806,0.687802,1,0.814381,0.782644,0.280388,0.888,1.5593,2.64,12,0.22,31d0c6720f718536c14b34deda7bbeb7992c32178499a5d207b6ba3cf2ffbb68,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed4__ep03,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,4,3,4,100,20,ON,0.1,1,0,0,0,43.926047,49.336249,0.698384,21.2662,23.0141,0.924,0.772571,0.697585,1,0.864587,0.838432,0.234093,0.7772,1.3509,3.08,12,0.256667,31d0c6720f718536c14b34deda7bbeb7992c32178499a5d207b6ba3cf2ffbb68,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
abl__mixed_complex__Full_CA-GAT-MAPPO__seed4__ep04,mixed_complex_component_ablation,mixed_complex,Full CA-GAT-MAPPO,existing_current_table7,4,4,4,100,20,ON,0.1,1,0,0,0,46.046716,48.772075,0.73367,21.6236,22.7771,0.9494,0.789466,0.73893,0,0.875302,0.83152,0.274363,0.713,1.5069,2,12,0.166667,31d0c6720f718536c14b34deda7bbeb7992c32178499a5d207b6ba3cf2ffbb68,6ab462282254dde9da98b27b25c83d9d362b1a8c,2053082647b037e2c23c1d0b3c528202c2b892aecd3bc3cb1bd0b0efe58606c8
