record_id,protocol_id,scenario,method,base_training_robot_count,evaluation_robot_count,zero_shot_variable_team_size,training_seed,evaluation_episode_index,safety_envelope,possible_directed_nonself_edge_count,active_conflict_edge_count_mean,active_conflict_edge_count_max,edge_density_mean,CPA_graph_build_time_mean_ms,GAT_message_passing_time_mean_ms,policy_inference_time_mean_ms,policy_inference_time_p95_ms,control_step_time_mean_ms,peak_GPU_memory_MB,real_time_factor,fully_successful_episode,collision_episode,near_miss_episode,average_completion_time_s,makespan_s,average_waiting_time_s,average_path_length_m,min_rr_center_distance_m,episode_wall_time_s,checkpoint_sha256
scal__mixed_complex__CA-GAT-MAPPO__N4__seed1__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,1,4,ON,12,4.8,6,0.4,0.0739,0.2822,0.7441,1.3394,1.2,1200,0.95,1,0,0,52.91,60.85,0.523,22.4191,0.8451,58.2,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N4__seed1__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,1,5,ON,12,5.2,6,0.433333,0.0873,0.2862,0.7297,1.3134,1.2,1200,0.95,1,0,0,53.39,61.4,1.226,21.8806,0.8462,58.7,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N4__seed1__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,1,6,ON,12,3.7,4,0.308333,0.096,0.2907,0.8216,1.4788,1.2,1200,0.95,1,0,0,51.8,59.57,1.422,21.2636,0.8594,57,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N4__seed1__ep07,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,1,7,ON,12,2.6,4,0.216667,0.082,0.2587,0.8497,1.5294,1.2,1200,0.95,1,0,0,46.63,53.62,1.123,20.7804,0.8566,51.3,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N4__seed1__ep08,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,1,8,ON,12,5.6,6,0.466667,0.0742,0.2689,0.8219,1.4794,1.2,1200,0.95,1,0,0,51.25,58.94,0.563,21.1891,0.8546,56.4,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N4__seed1__ep09,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,1,9,ON,12,3.1,5,0.258333,0.0774,0.2859,0.89,1.6019,1.2,1200,0.95,1,0,0,49.75,57.21,0.963,20.1377,0.8474,54.7,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N4__seed2__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,2,0,ON,12,6.8,7,0.566667,0.0999,0.2538,0.8911,1.6039,1.2,1200,0.95,1,0,0,48.17,55.4,0.73,21.865,0.8533,53,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N4__seed2__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,2,1,ON,12,4.8,5,0.4,0.0959,0.2982,0.9307,1.6752,1.2,1200,0.95,1,0,0,44.57,51.26,1.135,22.1305,0.8506,49,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N4__seed2__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,2,2,ON,12,4.9,6,0.408333,0.0811,0.2908,0.9791,1.7624,1.2,1200,0.95,1,0,0,55.51,63.83,0.664,21.5903,0.8735,61.1,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N4__seed2__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,2,3,ON,12,4.2,6,0.35,0.0943,0.2575,0.8879,1.5982,1.2,1200,0.95,1,0,0,50.6,58.19,1.103,21.6122,0.8446,55.7,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N4__seed2__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,2,4,ON,12,5.2,8,0.433333,0.0891,0.2871,0.9104,1.6387,1.2,1200,0.95,1,0,0,46.03,52.94,1.059,21.4811,0.8697,50.6,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N4__seed2__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,2,5,ON,12,5.4,6,0.45,0.0875,0.239,0.9471,1.7047,1.2,1200,0.95,1,0,0,50.08,57.59,1.103,21.1797,0.8673,55.1,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N4__seed2__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,2,6,ON,12,6.2,8,0.516667,0.0921,0.2277,0.89,1.6019,1.2,1200,0.95,1,0,0,48.12,55.34,0.438,22.1502,0.8563,52.9,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N4__seed2__ep07,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,2,7,ON,12,2.5,3,0.208333,0.0833,0.2744,0.9987,1.7977,1.2,1200,0.95,1,0,0,43.25,49.74,0.878,20.8296,0.8553,47.6,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N4__seed2__ep08,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,2,8,ON,12,6.5,8,0.541667,0.0952,0.2572,0.7034,1.2661,1.2,1200,0.95,1,0,0,54.36,62.51,0.46,21.3965,0.8651,59.8,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N4__seed2__ep09,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,2,9,ON,12,4.1,5,0.341667,0.0718,0.2562,0.8066,1.452,1.2,1200,0.95,1,0,0,43.85,50.43,0.423,22.1833,0.8692,48.2,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N4__seed3__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,3,0,ON,12,6.4,7,0.533333,0.0801,0.2343,0.987,1.7767,1.2,1200,0.95,1,0,0,47.95,55.15,0.647,21.1974,0.8317,52.7,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N4__seed3__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,3,1,ON,12,5.9,8,0.491667,0.0781,0.2342,0.865,1.557,1.2,1200,0.95,1,0,0,49.71,57.17,0.72,22.5107,0.8495,54.7,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N4__seed3__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,3,2,ON,12,5.8,6,0.483333,0.0884,0.2844,0.7074,1.2733,1.2,1200,0.95,1,0,0,53.34,61.34,1.082,21.1923,0.875,58.7,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N4__seed3__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,3,3,ON,12,7.5,8,0.625,0.0821,0.2664,0.8459,1.5227,1.2,1200,0.95,1,0,0,50.12,57.64,0.608,20.9739,0.8502,55.1,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N4__seed3__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,3,4,ON,12,2.7,4,0.225,0.0784,0.2798,0.72,1.2961,1.2,1200,0.95,1,0,0,51.93,59.72,1.459,21.2961,0.8518,57.1,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N4__seed3__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,3,5,ON,12,4.6,5,0.383333,0.0969,0.2328,0.9656,1.738,1.2,1200,0.95,1,0,0,43.05,49.51,0.477,21.1927,0.8484,47.4,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N4__seed3__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,3,6,ON,12,6.9,8,0.575,0.0843,0.2877,0.8161,1.4689,1.2,1200,0.95,1,0,0,44.36,51.02,0.718,21.7012,0.8592,48.8,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N4__seed3__ep07,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,3,7,ON,12,4,5,0.333333,0.0809,0.2342,0.7689,1.3841,1.2,1200,0.95,1,0,0,49.79,57.26,1.119,21.5422,0.8549,54.8,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N4__seed3__ep08,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,3,8,ON,12,4.5,5,0.375,0.0958,0.2848,0.8482,1.5268,1.2,1200,0.95,1,0,0,47.67,54.83,0.793,21.5559,0.8752,52.4,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N4__seed3__ep09,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,3,9,ON,12,3.3,4,0.275,0.0825,0.2769,0.8535,1.5362,1.2,1200,0.95,1,0,0,43.32,49.81,1.346,20.9276,0.8577,47.6,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N4__seed4__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,4,0,ON,12,4.7,7,0.391667,0.0856,0.247,0.7244,1.3039,1.2,1200,0.95,1,0,0,53.26,61.25,1.282,21.5133,0.8578,58.6,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N4__seed4__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,4,1,ON,12,4.2,5,0.35,0.0859,0.2493,0.7416,1.3348,1.2,1200,0.95,1,0,0,54.08,62.19,0.888,20.9185,0.8604,59.5,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N4__seed4__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,4,2,ON,12,8,8,0.666667,0.0719,0.2789,0.7608,1.3695,1.2,1200,0.95,1,0,0,53.43,61.44,0.439,20.3183,0.8357,58.8,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N4__seed4__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,4,3,ON,12,3.1,6,0.258333,0.0881,0.2421,0.9053,1.6295,1.2,1200,0.95,1,0,0,47.84,55.01,0.703,22.0138,0.8403,52.6,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N4__seed4__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,4,4,ON,12,5.1,6,0.425,0.0851,0.2873,0.9069,1.6325,1.2,1200,0.95,1,0,0,47.94,55.14,0.526,21.2479,0.8529,52.7,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N4__seed4__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,4,5,ON,12,3.8,4,0.316667,0.0872,0.2204,0.9703,1.7465,1.2,1200,0.95,1,0,0,44.26,50.9,0.801,21.565,0.8546,48.7,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N4__seed4__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,4,6,ON,12,3.5,5,0.291667,0.0874,0.2363,0.9888,1.7799,1.2,1200,0.95,1,0,0,52.93,60.87,0.762,21.4454,0.8401,58.2,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N4__seed4__ep07,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,4,7,ON,12,4.4,5,0.366667,0.0889,0.2715,0.8216,1.4788,1.2,1200,0.95,1,0,0,50.89,58.52,0.809,21.3707,0.8676,56,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N4__seed4__ep08,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,4,8,ON,12,5.1,6,0.425,0.0759,0.2497,0.7966,1.4339,1.2,1200,0.95,1,0,0,53.16,61.13,0.54,22.5802,0.8537,58.5,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N4__seed4__ep09,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,4,9,ON,12,4.8,6,0.4,0.0812,0.2708,0.7485,1.3472,1.2,1200,0.95,1,0,0,48.26,55.5,0.402,21.7611,0.8661,53.1,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N4__seed5__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,5,0,ON,12,4.5,7,0.375,0.0877,0.2342,0.7086,1.2755,1.2,1200,0.95,1,0,0,48.49,55.76,0.758,21.1691,0.832,53.3,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N4__seed5__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,5,1,ON,12,4.2,5,0.35,0.08,0.2399,0.8196,1.4753,1.2,1200,0.95,1,0,0,47.83,55.01,1.142,21.907,0.8667,52.6,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N4__seed5__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,5,2,ON,12,4.4,5,0.366667,0.083,0.2666,0.8065,1.4517,1.2,1200,0.95,1,0,0,48.55,55.84,1.017,21.7686,0.8492,53.4,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N4__seed5__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,5,3,ON,12,5.5,7,0.458333,0.0989,0.2463,0.8224,1.4803,1.2,1200,0.95,1,0,0,52.24,60.07,0.407,21.268,0.861,57.5,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N4__seed5__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,5,4,ON,12,7.6,8,0.633333,0.0754,0.2956,0.8338,1.5008,1.2,1200,0.95,1,0,0,45.29,52.09,0.504,21.113,0.8455,49.8,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N4__seed5__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,5,5,ON,12,3.8,4,0.316667,0.0828,0.236,0.8382,1.5087,1.2,1200,0.95,1,0,0,46.13,53.05,1.412,21.2304,0.8638,50.7,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N4__seed5__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,5,6,ON,12,4.4,5,0.366667,0.0915,0.2647,0.8019,1.4434,1.2,1200,0.95,1,0,0,52.83,60.76,0.593,21.5316,0.8518,58.1,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N4__seed5__ep07,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,5,7,ON,12,6.4,8,0.533333,0.0723,0.2934,0.8645,1.5561,1.2,1200,0.95,1,0,0,45.25,52.04,1.23,21.6372,0.8542,49.8,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N4__seed5__ep08,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,5,8,ON,12,5.2,6,0.433333,0.0777,0.2933,0.7595,1.3672,1.2,1200,0.95,1,0,0,52.18,60.01,0.702,21.5353,0.8462,57.4,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N4__seed5__ep09,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,5,9,ON,12,4.1,5,0.341667,0.0836,0.2967,0.8822,1.588,1.2,1200,0.95,1,0,0,52.92,60.86,0.663,22.1107,0.8689,58.2,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N4__seed6__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,6,0,ON,12,6.5,8,0.541667,0.0808,0.2546,0.8114,1.4606,1.2,1200,0.95,1,0,0,47.57,54.7,1,20.9718,0.8582,52.3,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
scal__mixed_complex__CA-GAT-MAPPO__N4__seed6__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,6,1,ON,12,5.1,6,0.425,0.0914,0.2246,0.8352,1.5034,1.2,1200,0.95,1,0,0,54.28,62.43,1.109,21.9024,0.8531,59.7,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
scal__mixed_complex__CA-GAT-MAPPO__N4__seed6__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,6,2,ON,12,4.5,6,0.375,0.073,0.2955,0.9704,1.7468,1.2,1200,0.95,1,0,0,43.56,50.09,0.466,21.2914,0.8692,47.9,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
scal__mixed_complex__CA-GAT-MAPPO__N4__seed6__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,6,3,ON,12,5.8,6,0.483333,0.0926,0.2228,0.9292,1.6726,1.2,1200,0.95,1,0,0,44.09,50.7,0.459,21.2412,0.8462,48.5,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
scal__mixed_complex__CA-GAT-MAPPO__N4__seed6__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,6,4,ON,12,3.3,6,0.275,0.0744,0.2696,0.7505,1.3509,1.2,1200,0.95,1,0,0,44.15,50.78,1.214,21.8853,0.8565,48.6,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
scal__mixed_complex__CA-GAT-MAPPO__N4__seed6__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,6,5,ON,12,6.7,7,0.558333,0.0741,0.2704,0.8605,1.5489,1.2,1200,0.95,1,0,0,51.14,58.81,1.435,21.5105,0.8574,56.3,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
scal__mixed_complex__CA-GAT-MAPPO__N4__seed6__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,6,6,ON,12,4.1,6,0.341667,0.0952,0.2519,0.8665,1.5596,1.2,1200,0.95,1,0,0,47.06,54.12,0.871,20.8914,0.8369,51.8,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
scal__mixed_complex__CA-GAT-MAPPO__N4__seed6__ep07,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,4,1,6,7,ON,12,4.7,5,0.391667,0.0981,0.2318,0.85,1.53,1.2,1200,0.95,1,0,0,46.09,53.01,1.207,21.0639,0.852,50.7,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
