record_id,protocol_id,scenario,controller,group_type,group_id,evaluation_episode_index,robot_count,safety_envelope,control_step_s,fully_successful_episode,successful_robots,collision_episode,collision_type,rr_near_miss_count,rp_near_miss_count,intervention_count,evaluated_command_count,intervention_ratio,mean_normalized_intervention_magnitude,episode_max_normalized_intervention_magnitude,average_completion_time_s,makespan_s,average_waiting_time_s,min_rr_center_distance_m,min_rp_center_distance_m,checkpoint_sha256,evaluation_seed_e,robot_random_seed,pedestrian_random_seed,draw_id
audit__static_clutter__Classical_local_controller__g1__ep04,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,1,4,4,ON,0.1,1,4,0,N/A,0,N/A,401,1574,0.254764930114358,0.120431,0.999,33.9971,38.0767,1.2733,0.679845,N/A,N/A,5582,5582882,N/A (no pedestrians),draw_static_clutter_Classical local controller_g1_ep4
audit__static_clutter__Classical_local_controller__g1__ep05,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,1,5,4,ON,0.1,1,4,0,N/A,0,N/A,379,1479,0.256254225828262,0.149076,0.999,32.0251,35.8681,1.0181,0.650066,N/A,N/A,8742,8742442,N/A (no pedestrians),draw_static_clutter_Classical local controller_g1_ep5
audit__static_clutter__Classical_local_controller__g1__ep06,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,1,6,4,ON,0.1,1,4,0,N/A,0,N/A,399,1467,0.2719836400818,0.137345,0.999,30.6207,34.2951,2.2884,0.702985,N/A,N/A,7938,7938538,N/A (no pedestrians),draw_static_clutter_Classical local controller_g1_ep6
audit__static_clutter__Classical_local_controller__g1__ep07,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,1,7,4,ON,0.1,1,4,0,N/A,0,N/A,414,1575,0.262857142857143,0.147699,0.999,32.8091,36.7462,2.1366,0.634517,N/A,N/A,5404,5404704,N/A (no pedestrians),draw_static_clutter_Classical local controller_g1_ep7
audit__static_clutter__Classical_local_controller__g1__ep08,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,1,8,4,ON,0.1,1,4,0,N/A,0,N/A,379,1537,0.24658425504229,0.144585,0.999,34.5712,38.7198,1.9488,0.699672,N/A,N/A,6566,6566966,N/A (no pedestrians),draw_static_clutter_Classical local controller_g1_ep8
audit__static_clutter__Classical_local_controller__g1__ep09,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,1,9,4,ON,0.1,1,4,0,N/A,0,N/A,389,1423,0.273366127898805,0.120509,0.999,32.7782,36.7116,2.1114,0.707943,N/A,N/A,8125,8125725,N/A (no pedestrians),draw_static_clutter_Classical local controller_g1_ep9
audit__static_clutter__Classical_local_controller__g2__ep00,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,2,0,4,ON,0.1,1,4,0,N/A,0,N/A,411,1483,0.27714093054619,0.115569,1.009,32.5367,36.4411,2.0828,0.676526,N/A,N/A,9132,9132832,N/A (no pedestrians),draw_static_clutter_Classical local controller_g2_ep0
audit__static_clutter__Classical_local_controller__g2__ep01,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,2,1,4,ON,0.1,1,4,0,N/A,0,N/A,424,1496,0.283422459893048,0.098926,0.989,31.194,34.9373,1.6535,0.669581,N/A,N/A,4257,4257457,N/A (no pedestrians),draw_static_clutter_Classical local controller_g2_ep1
audit__static_clutter__Classical_local_controller__g2__ep02,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,2,2,4,ON,0.1,1,4,0,N/A,0,N/A,416,1301,0.319754035357417,0.118518,0.999,32.1171,35.9712,2.2597,0.6903,N/A,N/A,6784,6784284,N/A (no pedestrians),draw_static_clutter_Classical local controller_g2_ep2
audit__static_clutter__Classical_local_controller__g2__ep03,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,2,3,4,ON,0.1,1,4,0,N/A,0,N/A,411,1492,0.275469168900804,0.105201,0.999,32.0719,35.9205,1.4953,0.631021,N/A,N/A,7285,7285785,N/A (no pedestrians),draw_static_clutter_Classical local controller_g2_ep3
audit__static_clutter__Classical_local_controller__g2__ep04,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,2,4,4,ON,0.1,1,4,0,N/A,0,N/A,420,1563,0.268714011516315,0.113025,0.999,32.3542,36.2367,2.3505,0.651549,N/A,N/A,8098,8098698,N/A (no pedestrians),draw_static_clutter_Classical local controller_g2_ep4
audit__static_clutter__Classical_local_controller__g2__ep05,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,2,5,4,ON,0.1,1,4,0,N/A,0,N/A,417,1379,0.302393038433648,0.117133,0.999,34.2126,38.3182,1.8159,0.693931,N/A,N/A,4966,4966266,N/A (no pedestrians),draw_static_clutter_Classical local controller_g2_ep5
audit__static_clutter__Classical_local_controller__g2__ep06,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,2,6,4,ON,0.1,1,4,0,N/A,0,N/A,395,1349,0.292809488510007,0.12399,0.999,33.3747,37.3797,2.3297,0.671442,N/A,N/A,10463,10463363,N/A (no pedestrians),draw_static_clutter_Classical local controller_g2_ep6
audit__static_clutter__Classical_local_controller__g2__ep07,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,2,7,4,ON,0.1,1,4,0,N/A,0,N/A,414,1444,0.286703601108033,0.10228,0.999,32.1119,35.9653,1.1193,0.709799,N/A,N/A,5519,5519819,N/A (no pedestrians),draw_static_clutter_Classical local controller_g2_ep7
audit__static_clutter__Classical_local_controller__g2__ep08,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,2,8,4,ON,0.1,1,4,0,N/A,0,N/A,457,1658,0.275633293124246,0.100993,0.999,31.9659,35.8019,1.4968,0.670776,N/A,N/A,6603,6603103,N/A (no pedestrians),draw_static_clutter_Classical local controller_g2_ep8
audit__static_clutter__Classical_local_controller__g2__ep09,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,2,9,4,ON,0.1,1,4,0,N/A,0,N/A,394,1294,0.304482225656878,0.100135,0.999,32.486,36.3843,2.102,0.655582,N/A,N/A,6878,6878378,N/A (no pedestrians),draw_static_clutter_Classical local controller_g2_ep9
audit__static_clutter__Classical_local_controller__g3__ep00,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,3,0,4,ON,0.1,1,4,0,N/A,0,N/A,391,1458,0.268175582990398,0.111588,1.009,30.4141,34.0638,1.2791,0.673076,N/A,N/A,4926,4926226,N/A (no pedestrians),draw_static_clutter_Classical local controller_g3_ep0
audit__static_clutter__Classical_local_controller__g3__ep01,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,3,1,4,ON,0.1,1,4,0,N/A,0,N/A,415,1486,0.279273216689098,0.121563,0.989,31.7878,35.6023,1.1694,0.689428,N/A,N/A,7621,7621221,N/A (no pedestrians),draw_static_clutter_Classical local controller_g3_ep1
audit__static_clutter__Classical_local_controller__g3__ep02,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,3,2,4,ON,0.1,1,4,0,N/A,0,N/A,400,1507,0.26542800265428,0.118754,0.999,33.9053,37.974,1.1206,0.68146,N/A,N/A,5184,5184484,N/A (no pedestrians),draw_static_clutter_Classical local controller_g3_ep2
audit__static_clutter__Classical_local_controller__g3__ep03,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,3,3,4,ON,0.1,1,4,0,N/A,0,N/A,362,1331,0.271975957926371,0.124198,0.999,33.7874,37.8419,2.2587,0.644282,N/A,N/A,5811,5811211,N/A (no pedestrians),draw_static_clutter_Classical local controller_g3_ep3
audit__static_clutter__Classical_local_controller__g3__ep04,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,3,4,4,ON,0.1,1,4,0,N/A,0,N/A,409,1601,0.255465334166146,0.127186,0.999,31.4501,35.2241,2.2097,0.680418,N/A,N/A,8520,8520220,N/A (no pedestrians),draw_static_clutter_Classical local controller_g3_ep4
audit__static_clutter__Classical_local_controller__g3__ep05,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,3,5,4,ON,0.1,1,4,0,N/A,0,N/A,386,1526,0.252948885976409,0.128611,0.999,33.4456,37.4591,2.1244,0.694239,N/A,N/A,3587,3587687,N/A (no pedestrians),draw_static_clutter_Classical local controller_g3_ep5
audit__static_clutter__Classical_local_controller__g3__ep06,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,3,6,4,ON,0.1,1,4,0,N/A,0,N/A,378,1369,0.276113951789627,0.118752,0.999,30.0954,33.7069,1.7568,0.697222,N/A,N/A,4358,4358558,N/A (no pedestrians),draw_static_clutter_Classical local controller_g3_ep6
audit__static_clutter__Classical_local_controller__g3__ep07,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,3,7,4,ON,0.1,1,4,0,N/A,0,N/A,395,1435,0.275261324041812,0.132585,0.999,33.0988,37.0706,1.8436,0.684675,N/A,N/A,6738,6738238,N/A (no pedestrians),draw_static_clutter_Classical local controller_g3_ep7
audit__static_clutter__Classical_local_controller__g3__ep08,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,3,8,4,ON,0.1,1,4,0,N/A,0,N/A,374,1351,0.276831976313842,0.111257,0.999,33.2304,37.2181,2.0216,0.653038,N/A,N/A,8809,8809509,N/A (no pedestrians),draw_static_clutter_Classical local controller_g3_ep8
audit__static_clutter__Classical_local_controller__g3__ep09,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,3,9,4,ON,0.1,1,4,0,N/A,0,N/A,416,1649,0.252274105518496,0.122732,0.999,33.8644,37.9281,1.6574,0.657003,N/A,N/A,7029,7029529,N/A (no pedestrians),draw_static_clutter_Classical local controller_g3_ep9
audit__static_clutter__Classical_local_controller__g4__ep00,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,4,0,4,ON,0.1,1,4,0,N/A,0,N/A,369,1433,0.257501744591766,0.142109,1.009,32.3494,36.2313,1.0449,0.683652,N/A,N/A,4492,4492692,N/A (no pedestrians),draw_static_clutter_Classical local controller_g4_ep0
audit__static_clutter__Classical_local_controller__g4__ep01,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,4,1,4,ON,0.1,1,4,0,N/A,0,N/A,406,1422,0.285513361462728,0.116322,0.989,34.9716,39.1681,1.1057,0.642678,N/A,N/A,4393,4393593,N/A (no pedestrians),draw_static_clutter_Classical local controller_g4_ep1
audit__static_clutter__Classical_local_controller__g4__ep02,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,4,2,4,ON,0.1,1,4,0,N/A,0,N/A,432,1508,0.286472148541114,0.144852,0.999,32.132,35.9878,1.1959,0.676234,N/A,N/A,9968,9968768,N/A (no pedestrians),draw_static_clutter_Classical local controller_g4_ep2
audit__static_clutter__Classical_local_controller__g4__ep03,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,4,3,4,ON,0.1,1,4,0,N/A,0,N/A,395,1425,0.27719298245614,0.124995,0.999,33.3917,37.3988,1.399,0.653191,N/A,N/A,5896,5896296,N/A (no pedestrians),draw_static_clutter_Classical local controller_g4_ep3
audit__static_clutter__Classical_local_controller__g4__ep04,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,4,4,4,ON,0.1,1,4,0,N/A,0,N/A,450,1752,0.256849315068493,0.128471,0.999,32.8026,36.739,2.3328,0.707792,N/A,N/A,9540,9540340,N/A (no pedestrians),draw_static_clutter_Classical local controller_g4_ep4
audit__static_clutter__Classical_local_controller__g4__ep05,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,4,5,4,ON,0.1,1,4,0,N/A,0,N/A,368,1375,0.267636363636364,0.122816,0.999,32.5543,36.4608,1.3034,0.658581,N/A,N/A,3670,3670770,N/A (no pedestrians),draw_static_clutter_Classical local controller_g4_ep5
audit__static_clutter__Classical_local_controller__g4__ep06,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,4,6,4,ON,0.1,1,4,0,N/A,0,N/A,395,1533,0.257664709719504,0.131088,0.999,33.9947,38.0741,2.2151,0.658308,N/A,N/A,9954,9954754,N/A (no pedestrians),draw_static_clutter_Classical local controller_g4_ep6
audit__static_clutter__Classical_local_controller__g4__ep07,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,4,7,4,ON,0.1,1,4,0,N/A,0,N/A,402,1509,0.266401590457256,0.142172,0.999,33.049,37.0149,1.9026,0.650773,N/A,N/A,7087,7087587,N/A (no pedestrians),draw_static_clutter_Classical local controller_g4_ep7
audit__static_clutter__Classical_local_controller__g4__ep08,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,4,8,4,ON,0.1,1,4,0,N/A,0,N/A,399,1379,0.289340101522843,0.134081,0.999,30.9721,34.6888,1.6693,0.650823,N/A,N/A,9955,9955755,N/A (no pedestrians),draw_static_clutter_Classical local controller_g4_ep8
audit__static_clutter__Classical_local_controller__g4__ep09,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,4,9,4,ON,0.1,1,4,0,N/A,0,N/A,389,1602,0.242821473158552,0.123227,0.999,33.7494,37.7993,1.7406,0.665763,N/A,N/A,3575,3575675,N/A (no pedestrians),draw_static_clutter_Classical local controller_g4_ep9
audit__static_clutter__Classical_local_controller__g5__ep00,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,5,0,4,ON,0.1,1,4,0,N/A,0,N/A,402,1499,0.268178785857238,0.131024,1.009,30.5166,34.1786,1.4265,0.706646,N/A,N/A,11733,11733733,N/A (no pedestrians),draw_static_clutter_Classical local controller_g5_ep0
audit__static_clutter__Classical_local_controller__g5__ep01,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,5,1,4,ON,0.1,1,4,0,N/A,0,N/A,407,1518,0.268115942028985,0.12617,0.989,30.7705,34.463,1.6366,0.706306,N/A,N/A,11440,11440440,N/A (no pedestrians),draw_static_clutter_Classical local controller_g5_ep1
audit__static_clutter__Classical_local_controller__g5__ep02,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,5,2,4,ON,0.1,1,4,0,N/A,0,N/A,411,1623,0.253234750462107,0.132424,0.999,34.7628,38.9343,1.3405,0.669071,N/A,N/A,6518,6518918,N/A (no pedestrians),draw_static_clutter_Classical local controller_g5_ep2
audit__static_clutter__Classical_local_controller__g5__ep03,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,5,3,4,ON,0.1,1,4,0,N/A,0,N/A,407,1541,0.264114211550941,0.13462,0.999,34.3529,38.4752,1.1589,0.643099,N/A,N/A,11498,11498498,N/A (no pedestrians),draw_static_clutter_Classical local controller_g5_ep3
audit__static_clutter__Classical_local_controller__g5__ep04,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,5,4,4,ON,0.1,1,4,0,N/A,0,N/A,416,1485,0.28013468013468,0.143865,0.999,31.0776,34.8069,1.4884,0.633958,N/A,N/A,4008,4008208,N/A (no pedestrians),draw_static_clutter_Classical local controller_g5_ep4
audit__static_clutter__Classical_local_controller__g5__ep05,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,5,5,4,ON,0.1,1,4,0,N/A,0,N/A,402,1540,0.261038961038961,0.143788,0.999,34.6583,38.8173,1.5439,0.674526,N/A,N/A,11782,11782782,N/A (no pedestrians),draw_static_clutter_Classical local controller_g5_ep5
audit__static_clutter__Classical_local_controller__g5__ep06,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,5,6,4,ON,0.1,1,4,0,N/A,0,N/A,435,1640,0.265243902439024,0.116517,0.999,34.4659,38.6018,2.2805,0.676839,N/A,N/A,4897,4897197,N/A (no pedestrians),draw_static_clutter_Classical local controller_g5_ep6
audit__static_clutter__Classical_local_controller__g5__ep07,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,5,7,4,ON,0.1,1,4,0,N/A,0,N/A,403,1606,0.25093399750934,0.122092,0.999,32.6775,36.5988,1.6668,0.690919,N/A,N/A,8972,8972672,N/A (no pedestrians),draw_static_clutter_Classical local controller_g5_ep7
audit__static_clutter__Classical_local_controller__g5__ep08,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,5,8,4,ON,0.1,1,4,0,N/A,0,N/A,410,1519,0.269914417379855,0.127941,0.999,31.0067,34.7275,2.2528,0.705356,N/A,N/A,9610,9610410,N/A (no pedestrians),draw_static_clutter_Classical local controller_g5_ep8
audit__static_clutter__Classical_local_controller__g5__ep09,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,5,9,4,ON,0.1,1,4,0,N/A,0,N/A,416,1576,0.263959390862944,0.131537,0.999,31.2057,34.9504,1.2364,0.674419,N/A,N/A,11612,11612612,N/A (no pedestrians),draw_static_clutter_Classical local controller_g5_ep9
audit__static_clutter__Classical_local_controller__g6__ep00,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,6,0,4,ON,0.1,1,4,0,N/A,0,N/A,389,1453,0.267721954576738,0.126298,1.009,30.6868,34.3692,1.5881,0.63674,N/A,N/A,9912,9912712,N/A (no pedestrians),draw_static_clutter_Classical local controller_g6_ep0
audit__static_clutter__Classical_local_controller__g6__ep01,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,6,1,4,ON,0.1,1,4,0,N/A,0,N/A,385,1328,0.289909638554217,0.107677,0.989,30.7684,34.4606,1.8133,0.69089,N/A,N/A,7010,7010510,N/A (no pedestrians),draw_static_clutter_Classical local controller_g6_ep1
audit__static_clutter__Classical_local_controller__g6__ep02,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,6,2,4,ON,0.1,1,4,0,N/A,0,N/A,382,1416,0.269774011299435,0.11882,0.999,32.0731,35.9218,2.277,0.663773,N/A,N/A,8809,8809509,N/A (no pedestrians),draw_static_clutter_Classical local controller_g6_ep2
audit__static_clutter__Classical_local_controller__g6__ep03,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,6,3,4,ON,0.1,1,4,0,N/A,0,N/A,362,1397,0.259126700071582,0.133315,0.999,31.6608,35.4601,1.7245,0.635998,N/A,N/A,9435,9435235,N/A (no pedestrians),draw_static_clutter_Classical local controller_g6_ep3
audit__static_clutter__Classical_local_controller__g6__ep04,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,6,4,4,ON,0.1,1,4,0,N/A,0,N/A,416,1492,0.278820375335121,0.132193,0.999,33.8783,37.9437,1.3993,0.650586,N/A,N/A,5172,5172472,N/A (no pedestrians),draw_static_clutter_Classical local controller_g6_ep4
audit__static_clutter__Classical_local_controller__g6__ep05,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,6,5,4,ON,0.1,1,4,0,N/A,0,N/A,405,1399,0.289492494639028,0.123994,0.999,33.1062,37.079,2.4704,0.652568,N/A,N/A,7176,7176676,N/A (no pedestrians),draw_static_clutter_Classical local controller_g6_ep5
audit__static_clutter__Classical_local_controller__g6__ep06,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,6,6,4,ON,0.1,1,4,0,N/A,0,N/A,380,1406,0.27027027027027,0.120794,0.999,30.3847,34.0308,1.0407,0.635061,N/A,N/A,8025,8025625,N/A (no pedestrians),draw_static_clutter_Classical local controller_g6_ep6
audit__static_clutter__Classical_local_controller__g6__ep07,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,6,7,4,ON,0.1,1,4,0,N/A,0,N/A,425,1552,0.273840206185567,0.127765,0.999,34.4288,38.5603,1.4861,0.705314,N/A,N/A,6573,6573973,N/A (no pedestrians),draw_static_clutter_Classical local controller_g6_ep7
audit__static_clutter__Classical_local_controller__g6__ep08,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,6,8,4,ON,0.1,1,4,0,N/A,0,N/A,394,1365,0.288644688644689,0.128819,0.999,32.1215,35.9761,1.0849,0.703762,N/A,N/A,10493,10493393,N/A (no pedestrians),draw_static_clutter_Classical local controller_g6_ep8
audit__static_clutter__Classical_local_controller__g6__ep09,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,6,9,4,ON,0.1,1,4,0,N/A,0,N/A,394,1331,0.296018031555222,0.11873,0.999,31.1267,34.862,1.7248,0.641419,N/A,N/A,4616,4616816,N/A (no pedestrians),draw_static_clutter_Classical local controller_g6_ep9
audit__static_clutter__Classical_local_controller__g7__ep00,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,7,0,4,ON,0.1,1,4,0,N/A,0,N/A,398,1462,0.272229822161423,0.114692,1.009,33.9195,37.9899,2.1696,0.643308,N/A,N/A,5386,5386686,N/A (no pedestrians),draw_static_clutter_Classical local controller_g7_ep0
audit__static_clutter__Classical_local_controller__g7__ep01,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,7,1,4,ON,0.1,1,4,0,N/A,0,N/A,363,1332,0.272522522522523,0.119614,0.989,30.1188,33.7331,1.7891,0.690329,N/A,N/A,8724,8724424,N/A (no pedestrians),draw_static_clutter_Classical local controller_g7_ep1
audit__static_clutter__Classical_local_controller__g7__ep02,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,7,2,4,ON,0.1,1,4,0,N/A,0,N/A,401,1601,0.250468457214241,0.127178,0.999,32.4742,36.3711,1.9819,0.702992,N/A,N/A,10466,10466366,N/A (no pedestrians),draw_static_clutter_Classical local controller_g7_ep2
audit__static_clutter__Classical_local_controller__g7__ep03,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,7,3,4,ON,0.1,1,4,0,N/A,0,N/A,375,1404,0.267094017094017,0.116876,0.999,33.3659,37.3698,1.2248,0.687817,N/A,N/A,7427,7427927,N/A (no pedestrians),draw_static_clutter_Classical local controller_g7_ep3
audit__static_clutter__Classical_local_controller__g7__ep04,safety_envelope_intervention_audit,static_clutter,Classical local controller,evaluation_seed,7,4,4,ON,0.1,1,4,0,N/A,0,N/A,413,1476,0.279810298102981,0.11211,0.999,33.7093,37.7544,2.0732,0.679685,N/A,N/A,10595,10595495,N/A (no pedestrians),draw_static_clutter_Classical local controller_g7_ep4
