record_id,protocol_id,scenario,method,training_seed,evaluation_episode_index,robot_count,policy_checkpoint_reused_from_main,safety_envelope,A_star_guide,ORCA_style_prior,velocity_slew_limits,pedestrian_limiter,lidar_safety_filter,robot_robot_shield,control_step_s,successful_robots,fully_successful_episode,collision_episode,rr_collision_count,rp_collision_count,obstacle_collision_count,timeout_failure_count,deadlock_failure_count,rr_near_miss_count,rp_near_miss_count,average_completion_time_s,makespan_s,average_waiting_time_s,average_path_length_m,astar_reference_path_length_m,executed_to_astar_ratio,trajectory_straightness,min_rr_center_distance_m,min_rp_center_distance_m,pre_filter_min_pred_rr_distance_m,pre_filter_min_pred_rp_distance_m,checkpoint_sha256
safetyoff__static_clutter__IPPO__seed1__ep00,safety_off_evaluation,static_clutter,IPPO,1,0,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,34.94,39.88,2.593,17.38,21.4252,0.8112,0.6722,0.4831,N/A,0.3865,N/A,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599
safetyoff__static_clutter__IPPO__seed1__ep01,safety_off_evaluation,static_clutter,IPPO,1,1,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,37.3,41.32,1.255,17.33,21.3627,0.8112,0.7645,0.5544,N/A,0.4435,N/A,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599
safetyoff__static_clutter__IPPO__seed1__ep02,safety_off_evaluation,static_clutter,IPPO,1,2,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,3,0,1,0,0,1,1,0,1,N/A,33.81,38.44,0.863,17.23,N/A (episode terminated early),N/A (early termination),0.6975,0.4607,N/A,0.3686,N/A,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599
safetyoff__static_clutter__IPPO__seed1__ep03,safety_off_evaluation,static_clutter,IPPO,1,3,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,3,0,1,0,0,1,1,0,0,N/A,35.21,40.25,1.595,18.23,N/A (episode terminated early),N/A (early termination),0.7493,0.6013,N/A,0.481,N/A,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599
safetyoff__static_clutter__IPPO__seed1__ep04,safety_off_evaluation,static_clutter,IPPO,1,4,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,39.06,44.56,2.554,18.2,21.4252,0.8495,0.6833,0.4996,N/A,0.3997,N/A,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599
safetyoff__static_clutter__IPPO__seed1__ep05,safety_off_evaluation,static_clutter,IPPO,1,5,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,2,0,1,1,0,1,0,0,1,N/A,34.65,37.57,2.19,18.41,N/A (episode terminated early),N/A (early termination),0.7027,0.2673,N/A,0.2138,N/A,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599
safetyoff__static_clutter__IPPO__seed1__ep06,safety_off_evaluation,static_clutter,IPPO,1,6,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,2,0,1,1,0,1,0,0,1,N/A,40.2,45.29,1.007,17.03,N/A (episode terminated early),N/A (early termination),0.6753,0.2608,N/A,0.2086,N/A,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599
safetyoff__static_clutter__IPPO__seed1__ep07,safety_off_evaluation,static_clutter,IPPO,1,7,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,40.88,45.05,1.03,17.53,21.3002,0.823,0.7289,0.745,N/A,0.596,N/A,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599
safetyoff__static_clutter__IPPO__seed1__ep08,safety_off_evaluation,static_clutter,IPPO,1,8,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,39.7,45.34,1.552,18.42,21.2377,0.8673,0.7574,0.4554,N/A,0.3643,N/A,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599
safetyoff__static_clutter__IPPO__seed1__ep09,safety_off_evaluation,static_clutter,IPPO,1,9,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,35.3,39.57,0.908,17.23,21.1127,0.8161,0.7199,0.7351,N/A,0.5881,N/A,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599
safetyoff__static_clutter__IPPO__seed2__ep00,safety_off_evaluation,static_clutter,IPPO,2,0,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,39.14,44.66,2.737,17.57,21.1127,0.8322,0.721,0.5251,N/A,0.4201,N/A,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee
safetyoff__static_clutter__IPPO__seed2__ep01,safety_off_evaluation,static_clutter,IPPO,2,1,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,38.69,42.58,1.362,17.64,21.3627,0.8257,0.7377,0.7299,N/A,0.5839,N/A,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee
safetyoff__static_clutter__IPPO__seed2__ep02,safety_off_evaluation,static_clutter,IPPO,2,2,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,35.69,39.2,1.858,18.18,21.3627,0.851,0.752,0.4168,N/A,0.3334,N/A,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee
safetyoff__static_clutter__IPPO__seed2__ep03,safety_off_evaluation,static_clutter,IPPO,2,3,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,36.5,41.61,1.234,17.77,21.5502,0.8246,0.6711,0.3837,N/A,0.307,N/A,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee
safetyoff__static_clutter__IPPO__seed2__ep04,safety_off_evaluation,static_clutter,IPPO,2,4,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,2,0,1,1,0,1,0,0,1,N/A,38.41,41.86,2.589,17.7,N/A (episode terminated early),N/A (early termination),0.7609,0.3185,N/A,0.2548,N/A,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee
safetyoff__static_clutter__IPPO__seed2__ep05,safety_off_evaluation,static_clutter,IPPO,2,5,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,35.09,39.23,2.962,17.56,21.1752,0.8293,0.7684,0.3919,N/A,0.3135,N/A,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee
safetyoff__static_clutter__IPPO__seed2__ep06,safety_off_evaluation,static_clutter,IPPO,2,6,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,39.29,43.06,2.353,17.79,21.1127,0.8426,0.7275,0.4899,N/A,0.3919,N/A,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee
safetyoff__static_clutter__IPPO__seed2__ep07,safety_off_evaluation,static_clutter,IPPO,2,7,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,39.9,45.47,1.547,17.45,21.2377,0.8217,0.6989,0.7465,N/A,0.5972,N/A,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee
safetyoff__static_clutter__IPPO__seed2__ep08,safety_off_evaluation,static_clutter,IPPO,2,8,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,34.62,39.41,1.127,17.37,21.1127,0.8227,0.7688,0.74,N/A,0.592,N/A,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee
safetyoff__static_clutter__IPPO__seed2__ep09,safety_off_evaluation,static_clutter,IPPO,2,9,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,40.24,43.87,1.481,18.33,21.1752,0.8656,0.6746,0.5178,N/A,0.4142,N/A,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee
safetyoff__static_clutter__IPPO__seed3__ep00,safety_off_evaluation,static_clutter,IPPO,3,0,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,37.11,40.82,1.118,18,21.1752,0.8501,0.7072,0.4231,N/A,0.3385,N/A,3d2f89067b4858912f03a60135774c769f58f28ec0a9ba4e550afca8b4b30a97
safetyoff__static_clutter__IPPO__seed3__ep01,safety_off_evaluation,static_clutter,IPPO,3,1,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,36.93,41.17,2.906,17.68,21.3002,0.83,0.7071,0.4532,N/A,0.3626,N/A,3d2f89067b4858912f03a60135774c769f58f28ec0a9ba4e550afca8b4b30a97
safetyoff__static_clutter__IPPO__seed3__ep02,safety_off_evaluation,static_clutter,IPPO,3,2,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,40.28,43.95,0.881,17.1,21.3627,0.8005,0.7235,0.5011,N/A,0.4009,N/A,3d2f89067b4858912f03a60135774c769f58f28ec0a9ba4e550afca8b4b30a97
safetyoff__static_clutter__IPPO__seed3__ep03,safety_off_evaluation,static_clutter,IPPO,3,3,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,37.78,41.4,1.679,17.38,21.3627,0.8136,0.7422,0.5349,N/A,0.4279,N/A,3d2f89067b4858912f03a60135774c769f58f28ec0a9ba4e550afca8b4b30a97
safetyoff__static_clutter__IPPO__seed3__ep04,safety_off_evaluation,static_clutter,IPPO,3,4,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,3,0,1,0,0,1,0,0,1,N/A,39.08,42.27,2.773,18.1,N/A (episode terminated early),N/A (early termination),0.7134,0.3811,N/A,0.3049,N/A,3d2f89067b4858912f03a60135774c769f58f28ec0a9ba4e550afca8b4b30a97
safetyoff__static_clutter__IPPO__seed3__ep05,safety_off_evaluation,static_clutter,IPPO,3,5,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,40.74,46,2.993,18.17,21.2377,0.8556,0.7243,0.6359,N/A,0.5087,N/A,3d2f89067b4858912f03a60135774c769f58f28ec0a9ba4e550afca8b4b30a97
safetyoff__static_clutter__IPPO__seed3__ep06,safety_off_evaluation,static_clutter,IPPO,3,6,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,3,0,1,0,0,1,0,0,1,N/A,34.71,38.16,1.115,18.09,N/A (episode terminated early),N/A (early termination),0.726,0.3822,N/A,0.3058,N/A,3d2f89067b4858912f03a60135774c769f58f28ec0a9ba4e550afca8b4b30a97
safetyoff__static_clutter__IPPO__seed3__ep07,safety_off_evaluation,static_clutter,IPPO,3,7,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,39,43.68,2.006,17.01,21.3627,0.7962,0.7623,0.6442,N/A,0.5154,N/A,3d2f89067b4858912f03a60135774c769f58f28ec0a9ba4e550afca8b4b30a97
safetyoff__static_clutter__IPPO__seed3__ep08,safety_off_evaluation,static_clutter,IPPO,3,8,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,33.82,37.58,1.258,17.31,21.0502,0.8223,0.7199,0.6204,N/A,0.4963,N/A,3d2f89067b4858912f03a60135774c769f58f28ec0a9ba4e550afca8b4b30a97
safetyoff__static_clutter__IPPO__seed3__ep09,safety_off_evaluation,static_clutter,IPPO,3,9,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,36.74,40.74,2.557,17.62,21.1752,0.8321,0.7482,0.5248,N/A,0.4198,N/A,3d2f89067b4858912f03a60135774c769f58f28ec0a9ba4e550afca8b4b30a97
safetyoff__static_clutter__IPPO__seed4__ep00,safety_off_evaluation,static_clutter,IPPO,4,0,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,2,0,1,1,0,1,0,0,1,N/A,36.74,41.99,1.366,17.63,N/A (episode terminated early),N/A (early termination),0.69,0.3443,N/A,0.2754,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7
safetyoff__static_clutter__IPPO__seed4__ep01,safety_off_evaluation,static_clutter,IPPO,4,1,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,38.98,44.3,2.419,18.29,21.2377,0.8612,0.73,0.6019,N/A,0.4815,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7
safetyoff__static_clutter__IPPO__seed4__ep02,safety_off_evaluation,static_clutter,IPPO,4,2,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,39.26,44.4,1.802,17.49,21.4252,0.8163,0.6821,0.531,N/A,0.4248,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7
safetyoff__static_clutter__IPPO__seed4__ep03,safety_off_evaluation,static_clutter,IPPO,4,3,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,37.32,41.78,2.167,18.43,21.1127,0.8729,0.6982,0.5077,N/A,0.4062,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7
safetyoff__static_clutter__IPPO__seed4__ep04,safety_off_evaluation,static_clutter,IPPO,4,4,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,2,0,1,1,0,1,0,0,1,N/A,34.33,38.25,1.608,18.39,N/A (episode terminated early),N/A (early termination),0.7236,0.3484,N/A,0.2787,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7
safetyoff__static_clutter__IPPO__seed4__ep05,safety_off_evaluation,static_clutter,IPPO,4,5,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,33.18,36.22,0.732,18.37,21.1752,0.8675,0.6757,0.6779,N/A,0.5423,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7
safetyoff__static_clutter__IPPO__seed4__ep06,safety_off_evaluation,static_clutter,IPPO,4,6,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,33.55,37.61,0.702,17.55,21.3002,0.8239,0.7246,0.5976,N/A,0.4781,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7
safetyoff__static_clutter__IPPO__seed4__ep07,safety_off_evaluation,static_clutter,IPPO,4,7,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,39.89,44.9,2.944,18.3,21.1752,0.8642,0.7087,0.6161,N/A,0.4929,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7
safetyoff__static_clutter__IPPO__seed4__ep08,safety_off_evaluation,static_clutter,IPPO,4,8,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,2,0,1,1,0,1,0,0,1,N/A,36.96,41.59,2.803,18.13,N/A (episode terminated early),N/A (early termination),0.6913,0.2536,N/A,0.2029,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7
safetyoff__static_clutter__IPPO__seed4__ep09,safety_off_evaluation,static_clutter,IPPO,4,9,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,37.27,40.98,2.387,17.68,21.3627,0.8276,0.6778,0.6776,N/A,0.5421,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7
safetyoff__static_clutter__IPPO__seed5__ep00,safety_off_evaluation,static_clutter,IPPO,5,0,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,40.85,44.43,1.109,17.49,21.2377,0.8235,0.7595,0.4989,N/A,0.3991,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b
safetyoff__static_clutter__IPPO__seed5__ep01,safety_off_evaluation,static_clutter,IPPO,5,1,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,3,0,1,0,0,1,0,0,1,N/A,36.54,40.23,2.97,17.79,N/A (episode terminated early),N/A (early termination),0.75,0.3696,N/A,0.2957,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b
safetyoff__static_clutter__IPPO__seed5__ep02,safety_off_evaluation,static_clutter,IPPO,5,2,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,38.87,43.46,2.733,17.11,21.1752,0.808,0.7121,0.3857,N/A,0.3086,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b
safetyoff__static_clutter__IPPO__seed5__ep03,safety_off_evaluation,static_clutter,IPPO,5,3,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,38.36,41.76,1.143,17.21,21.3002,0.808,0.7042,0.5127,N/A,0.4102,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b
safetyoff__static_clutter__IPPO__seed5__ep04,safety_off_evaluation,static_clutter,IPPO,5,4,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,38.76,43.96,2.686,18.48,21.1127,0.8753,0.6781,0.4523,N/A,0.3618,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b
safetyoff__static_clutter__IPPO__seed5__ep05,safety_off_evaluation,static_clutter,IPPO,5,5,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,40.63,45.33,1.094,17.39,21.1127,0.8237,0.7338,0.7026,N/A,0.5621,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b
safetyoff__static_clutter__IPPO__seed5__ep06,safety_off_evaluation,static_clutter,IPPO,5,6,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,3,0,1,0,0,1,0,0,1,N/A,35.6,39,1.988,17.14,N/A (episode terminated early),N/A (early termination),0.7244,0.3746,N/A,0.2997,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b
safetyoff__static_clutter__IPPO__seed5__ep07,safety_off_evaluation,static_clutter,IPPO,5,7,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,38,41.84,1.582,17.11,21.1127,0.8104,0.6751,0.5491,N/A,0.4393,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b
safetyoff__static_clutter__IPPO__seed5__ep08,safety_off_evaluation,static_clutter,IPPO,5,8,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,3,0,1,1,0,0,0,0,1,N/A,35.44,38.3,2.821,18.15,N/A (episode terminated early),N/A (early termination),0.7405,0.2726,N/A,0.2181,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b
safetyoff__static_clutter__IPPO__seed5__ep09,safety_off_evaluation,static_clutter,IPPO,5,9,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,36.89,41.33,1.223,18.33,21.1752,0.8656,0.7095,0.7295,N/A,0.5836,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b
safetyoff__static_clutter__IPPO__seed6__ep00,safety_off_evaluation,static_clutter,IPPO,6,0,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,36.43,39.37,2.09,17.58,21.1752,0.8302,0.7136,0.7328,N/A,0.5862,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460
safetyoff__static_clutter__IPPO__seed6__ep01,safety_off_evaluation,static_clutter,IPPO,6,1,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,39.87,44.31,2.319,17.65,21.1127,0.836,0.7192,0.5033,N/A,0.4026,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460
safetyoff__static_clutter__IPPO__seed6__ep02,safety_off_evaluation,static_clutter,IPPO,6,2,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,36.89,42.2,1.205,18.06,21.2377,0.8504,0.6932,0.6315,N/A,0.5052,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460
safetyoff__static_clutter__IPPO__seed6__ep03,safety_off_evaluation,static_clutter,IPPO,6,3,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,40.13,43.67,2.312,18.44,21.3002,0.8657,0.7142,0.572,N/A,0.4576,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460
safetyoff__static_clutter__IPPO__seed6__ep04,safety_off_evaluation,static_clutter,IPPO,6,4,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,0,N/A,33.27,36.3,2.461,17.42,21.1127,0.8251,0.7131,0.6224,N/A,0.4979,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460
safetyoff__static_clutter__IPPO__seed6__ep05,safety_off_evaluation,static_clutter,IPPO,6,5,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,3,0,1,0,0,1,0,0,0,N/A,38.68,42.3,2.166,17.48,N/A (episode terminated early),N/A (early termination),0.7414,0.712,N/A,0.5696,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460
safetyoff__static_clutter__IPPO__seed6__ep06,safety_off_evaluation,static_clutter,IPPO,6,6,4,1,OFF,ON,ON,ON,OFF,OFF,OFF,0.1,4,1,0,0,0,0,0,0,1,N/A,37.13,41.56,2.916,17.67,21.1752,0.8345,0.6976,0.3756,N/A,0.3005,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460
